Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,SM9,SM10,Carrera,Campus,Sexo,Sem,Apr
Ingeniería Civil Informática,85,100,-,10,10,10,8,10,10,8,10,8,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,95,0,0,7,0,0,1,1
Ingeniería Civil Matemática,13,0,-,10,10,0,6,7.5,10,10,5,10,10,95,-,0,0,86,100,68,100,100,100,85,0,100,85,100,100,15,0,35,0,,,,,,,,,7,0,0,8,0,0,1,0
Ingeniería Civil,46,40,72,10,4,10,8,10,2,-,10,2,6,95,100,100,-,97,100,98,100,-,99,85,85,75,70,80,65,25,15,0,65,,,,,,,,,57,0,0,1,0,0,1,1
Ingeniería Civil,39,35,15,10,10,10,10,10,10,8,10,4,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,35,-,65,100,35,,,,,,,,,27,0,0,1,0,0,1,0
Ingeniería Civil Mecánica,30,70,80,-,-,10,10,7.5,10,10,7.5,-,4,100,100,83,100,84,100,-,100,-,100,25,90,80,0,50,0,0,0,0,0,,,,,,,,,59,0,0,9,0,0,1,1
Ingeniería Civil Industrial,35,0,-,10,6,10,10,2.5,6,6.67,10,10,10,100,100,100,100,99,100,76,100,100,100,35,100,65,60,-,-,-,-,-,-,,,,,,,,,18,0,0,6,0,1,1,0
Ingeniería Civil Industrial,98,95,-,10,10,10,10,10,10,8.33,10,6,10,100,-,100,100,100,100,100,100,100,100,100,100,100,100,100,85,100,100,100,95,,,,,,,,,96,0,0,6,0,1,1,1
Ingeniería Civil Mecánica,50,0,15,10,6,10,2,-,8,2,7.5,-,4,71,100,-,-,-,0,63,-,-,-,100,100,0,90,100,0,100,50,0,0,,,,,,,,,33,0,0,9,0,1,1,0
Ingeniería Civil Informática,60,100,-,10,10,10,8,7.5,8,6,5,10,10,90,100,100,100,100,100,-,100,94,99,100,95,100,100,65,100,100,0,70,0,,,,,,,,,81,0,0,7,0,0,1,1
Construcción Civil,15,0,50,10,2,0,4,10,8,10,5,0,10,76,-,-,38,100,100,98,100,100,100,100,100,100,100,100,100,20,0,-,75,,,,,,,,,33,0,0,0,0,0,1,0
Ingeniería Civil,34,100,-,10,10,10,0,10,10,10,10,8,10,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,0,90,100,0,,,,,,,,,76,0,0,1,0,1,1,1
Ingeniería Civil Matemática,91,0,-,10,6,10,6,10,6,10,10,0,10,-,-,-,-,-,-,90,-,97,-,90,100,100,100,100,-,100,100,100,95,,,,,,,,,46,0,0,8,0,0,1,0
Ingeniería Civil Matemática,40,90,-,10,10,10,6,10,6,10,10,10,10,86,76,100,93,99,100,100,-,100,-,95,100,70,100,100,-,100,100,90,0,,,,,,,,,73,0,0,8,0,0,1,1
Ingeniería Civil Mecánica,100,100,-,10,6,10,8,10,8,10,10,8,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,98,0,0,9,0,0,1,1
Ingeniería Civil Informática,43,35,100,10,6,10,8,5,2,4,10,4,10,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,0,5,100,80,35,,,,,,,,,73,0,0,7,0,0,1,1
Ingeniería Civil,85,100,-,10,8,10,10,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,96,0,0,1,0,0,1,1
Ingeniería Civil Informática,95,100,-,10,10,0,8,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,,,,,,,,,96,0,0,7,0,1,1,1
Construcción Civil,31,10,-,0,4,0,8,10,2,6.67,5,6,10,100,100,-,0,100,0,100,100,-,-,75,90,-,100,100,100,-,95,20,-,,,,,,,,,21,0,0,0,0,0,1,0
Ingeniería Civil Informática,-,0,-,10,10,10,10,10,-,-,-,-,-,-,-,-,100,100,-,-,-,-,-,95,100,100,100,100,0,0,0,0,-,,,,,,,,,0,0,0,7,0,0,1,0
Ingeniería Civil Mecánica,70,65,-,10,10,10,8,10,10,10,10,10,10,90,100,100,100,100,100,100,100,100,100,75,100,100,100,100,100,100,100,100,100,,,,,,,,,83,0,0,9,0,0,1,1
Ingeniería Civil Informática,50,100,-,10,10,0,4,10,10,10,10,10,10,95,100,100,100,100,100,0,100,89,100,95,100,100,100,100,85,100,100,100,100,,,,,,,,,83,0,0,7,0,0,1,1
Ingeniería Civil Plan Común,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,0,0,0,11,0,0,1,0
Ingeniería Civil Informática,100,100,-,10,10,10,10,10,6,10,10,10,10,100,100,100,100,-,100,0,-,0,0,100,90,100,100,100,100,100,100,100,100,,,,,,,,,97,0,0,7,0,0,1,1
Construcción Civil,0,0,-,0,0,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,0,0,0,0,0,0,1,0
Construcción Civil,0,10,-,10,10,10,0,5,-,-,-,-,-,100,100,90,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,5,0,0,0,0,0,1,0
Ingeniería Civil,70,85,-,10,4,0,10,10,4,10,10,8,4,0,100,-,100,100,100,100,-,100,100,95,100,100,100,100,100,100,100,100,100,,,,,,,,,82,0,0,1,0,0,1,1
Ingeniería Civil Mecánica,90,75,-,10,10,0,8,7.5,8,10,10,8,10,100,100,100,100,100,100,100,100,100,100,100,100,80,100,100,100,100,100,100,100,,,,,,,,,88,0,0,9,0,0,1,1
